a1,a2,a3,a4,a5,a,a7,a8,a9,a10,a11,a12,a13,a14,a15,a1,a17,a18,a19,a20,a21,a22,a23,a24,a25,a2,a27,a28,a29,a30,a31,a32,a33,a34,a35,a3,a37,a38,a39,a40,a41,a42,a43,a44,a45,a4,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56
2,2,2,3,3,4,2,2,3,4,2,3,4,2,3,3,2,3,3,4,2,3,3,1,2,4,4,4,4,5,4,4,2,2,3,3,3,2,2,5,5,2,2,2,3,3,4,2,2,3,4,2,3,4,2,3
3,3,4,3,3,4,4,3,4,4,5,5,4,3,3,4,4,3,4,4,4,4,3,3,4,3,3,4,5,4,4,4,4,4,4,4,5,4,4,3,4,3,3,4,3,3,4,4,3,4,4,5,5,4,3,4
3,3,1,3,2,2,3,2,2,2,2,3,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,3,3,4,4,3,3,1,3,2,2,3,2,2,2,2,3,4,2,3
2,3,3,2,3,3,3,2,2,3,2,3,2,3,3,4,3,2,4,4,2,3,3,4,3,4,4,4,4,3,4,4,2,4,4,4,4,2,3,3,4,2,3,3,2,3,3,3,2,2,3,2,3,2,3,5
3,3,2,3,3,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,2,2,4,4,4,3,3,2,3,3,4,3,3,2,2,2,2,2,3,3
3,3,2,3,3,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,2,2,4,4,4,3,3,2,3,3,4,3,3,2,2,2,2,2,3,4















































































































